ID,language,timestamp,Date,Time,age,location,Firegion,RespSex,HouseHoldSize,ORIG_HouseHoldSize,UnPSunF,PSunF,OatCer,Nuts,Fat,FruBer,Bread,Insects,Pigfat,Game,Fatcakes,Seedmix,OatPorMue,OatSheaf,leftover_fish_pota,NoFood,ORIG_OtherFood,FeedChange_NOchange,FeedChange_YES_started_5y,FeedChange_YES_stopped,FeedChange_YES_more,FeedChange_YES_less,FeedChange_YES_longer,FeedChange_YES_shorter,FeedChange_Change_quality,Conflicting,Check,WhyChange_NoReason,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_Timing,WhyChange_NewLocation,WhyStop_LackOfTime,WhyStop_NotMaintain,WhyStop_HighFoodConsumption,WhyStop_HighPrice,WhyStop_Neighbours,WhyStop_HousingRules,WhyStop_AuthoritiesRules,WhyStop_BirdWatchers,WhyStop_LackOfSnow,WhyStop_Diseases,WhyStop_Magpies,WhyStop_Cats,WhyStop_Dogs,WhyStop_Ravens,WhyStop_Jackdaws,WhyStop_Jays,WhyStop_Squirrels,WhyStop_Deer,WhyStop_Rats,WhyStop_Woodpeckers,WhyStop_Crows,freeze,snow,AllWinter,ground,summer,OnlyBirds,Birdwatch,CLASS_OpenRespChanges
5307,F,14/03/2021 0.38,14-03-2021,0.38.27,41-50 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I somewhat agree,I somewhat disagree,I disagree,I do not agree or disagree,Rarely or never,NA
5308,F,04/02/2021 20.30,04-02-2021,20.30.59,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I somewhat disagree,I agree,I disagree,I disagree,I agree,Regularly,NA
5309,F,28/02/2021 9.03,28-02-2021,9.03.41,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I disagree,I agree,I somewhat agree,I disagree,I somewhat disagree,Regularly,NA
5310,F,03/03/2021 14.45,03-03-2021,14.45.58,21-30 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I somewhat disagree,I disagree,I disagree,Regularly,0
5311,F,03/03/2021 20.55,03-03-2021,20.55.37,41-50 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,over 40 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I agree,I disagree,I disagree,Occasionally,0
5312,F,04/03/2021 2.38,04-03-2021,2.38.21,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,1-2 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat disagree,I agree,I agree,I disagree,I do not agree or disagree,Occasionally,0
5313,F,04/03/2021 8.19,04-03-2021,8.19.14,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,21-40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I somewhat agree,I somewhat agree,I disagree,Regularly,0
5314,F,04/03/2021 10.07,04-03-2021,10.07.48,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I do not agree or disagree,I agree,I do not agree or disagree,I do not agree or disagree,I do not agree or disagree,Regularly,NA
5315,F,06/03/2021 10.13,06-03-2021,10.13.30,over 70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,NA,I agree,I disagree,I disagree,I disagree,Regularly,NA
5316,F,10/03/2021 7.19,10-03-2021,7.19.34,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,NA,I agree,I disagree,I somewhat disagree,I disagree,Regularly,0
5317,F,13/03/2021 20.13,13-03-2021,20.13.46,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,21-40 kg,1-20 kg,21-40 kg,NA,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I agree,I do not agree or disagree,I disagree,Occasionally,0
5318,F,13/03/2021 20.55,13-03-2021,20.55.47,over 70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,I do not offer fat or tallow,I do not offer berries or fruits,1-2 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I somewhat agree,I disagree,I disagree,I agree,Rarely or never,1
5319,F,13/03/2021 20.56,13-03-2021,20.56.16,NA,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I somewhat agree,I somewhat agree,I do not agree or disagree,Regularly,NA
5320,F,13/03/2021 20.58,13-03-2021,20.58.56,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,I do not offer fat or tallow,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I agree,NA,I disagree,I disagree,Occasionally,NA
5321,F,13/03/2021 21.30,13-03-2021,21.30.12,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5322,F,13/03/2021 23.57,13-03-2021,23.57.19,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,21-40 kg,21-40 kg,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I agree,I disagree,I disagree,Regularly,NA
5323,F,14/03/2021 0.50,14-03-2021,0.50.25,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,21-40 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I disagree,I agree,I agree,I disagree,I disagree,Regularly,NA
5324,F,14/03/2021 7.24,14-03-2021,7.24.04,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I agree,I somewhat agree,I do not agree or disagree,I agree,Regularly,NA
5325,F,14/03/2021 7.36,14-03-2021,7.36.58,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,less than 1 kg,3-5 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I somewhat agree,I somewhat disagree,I do not agree or disagree,I agree,Regularly,6
5326,F,14/03/2021 7.37,14-03-2021,7.37.50,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I somewhat disagree,I agree,I agree,I somewhat disagree,I somewhat disagree,Regularly,NA
5327,F,14/03/2021 14.49,14-03-2021,14.49.57,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,over 40 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,1-2 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I agree,I disagree,I disagree,Regularly,0
5328,F,14/03/2021 14.56,14-03-2021,14.56.06,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,1-2 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I agree,I disagree,I somewhat disagree,Occasionally,2
5329,F,14/03/2021 17.25,14-03-2021,17.25.16,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I disagree,I agree,I disagree,I disagree,I somewhat agree,Occasionally,1
5330,F,14/03/2021 22.19,14-03-2021,22.19.46,41-50 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I agree,I do not agree or disagree,I somewhat agree,I do not agree or disagree,Occasionally,2
5331,F,15/03/2021 16.58,15-03-2021,16.58.17,41-50 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I disagree,I agree,I disagree,I disagree,I somewhat agree,Regularly,NA
5332,F,15/03/2021 20.57,15-03-2021,20.57.08,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I somewhat disagree,I agree,I agree,I do not agree or disagree,I somewhat disagree,Occasionally,NA
5333,F,15/03/2021 21.49,15-03-2021,21.49.13,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,21-40 kg,1-20 kg,over 5 sticks or over 20 fat balls,over 2 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I agree,I somewhat agree,NA,I do not agree or disagree,Occasionally,0
5334,F,18/03/2021 5.37,18-03-2021,5.37.46,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I do not agree or disagree,I agree,I agree,I do not agree or disagree,I do not agree or disagree,Occasionally,0
5335,F,01/03/2021 10.35,01-03-2021,10.35.25,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I agree,I disagree,I disagree,I somewhat agree,Occasionally,0
5336,F,16/03/2021 12.44,16-03-2021,12.44.17,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,1-2 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I agree,I disagree,I somewhat disagree,Occasionally,NA
5337,F,24/02/2021 10.59,24-02-2021,10.59.22,over 70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,NA,I agree,NA,NA,NA,Occasionally,0
5338,F,14/03/2021 0.16,14-03-2021,0.16.51,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,over 40 kg,I do not offer nuts,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I disagree,I agree,I somewhat disagree,I disagree,I agree,Regularly,0
5339,F,14/03/2021 0.17,14-03-2021,0.17.29,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,over 40 kg,I do not offer nuts,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I disagree,I agree,I somewhat disagree,I disagree,I agree,Regularly,0
5340,F,14/03/2021 3.30,14-03-2021,3.30.12,over 70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,1,1,21-40 kg,21-40 kg,I do not offer oat or other grain,over 40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I disagree,I disagree,I disagree,Regularly,NA
5341,F,14/03/2021 18.39,14-03-2021,18.39.17,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I agree,I somewhat agree,I disagree,I do not agree or disagree,Occasionally,0
5342,F,01/02/2021 21.08,01-02-2021,21.08.59,21-30 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,21-40 kg,1-20 kg,21-40 kg,I do not offer fat or tallow,I do not offer berries or fruits,over 5 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I agree,I somewhat agree,I disagree,Regularly,NA
5343,F,13/03/2021 21.56,13-03-2021,21.56.13,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I disagree,I disagree,I do not agree or disagree,Rarely or never,2
5344,F,14/03/2021 6.59,14-03-2021,6.59.21,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,I do not offer oat or other grain,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I somewhat agree,I agree,I disagree,I disagree,I somewhat agree,Occasionally,0
5345,F,14/03/2021 7.17,14-03-2021,7.17.57,over 70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,I do not offer oat or other grain,21-40 kg,over 5 sticks or over 20 fat balls,1-2 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I agree,I somewhat disagree,I disagree,I disagree,Rarely or never,2
5346,F,14/03/2021 11.12,14-03-2021,11.12.01,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,1-20 kg,1-20 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I somewhat disagree,I agree,I agree,I somewhat disagree,I somewhat disagree,Occasionally,0
5347,F,14/03/2021 13.51,14-03-2021,13.51.35,over 70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I do not agree or disagree,I somewhat disagree,I disagree,I somewhat disagree,Regularly,0
